ID,Datetime,Tweet Id,Text,Username,Location,Label
0,30-01-2022,1.49E+18,"Door to door campaign in Chimbel, St Cruz. 

Received tremendous response from the people. They have faith in AAP and wants to give one chance to honest politics. https://t.co/PnXqmUiEvJ",AmitPalekar10,Goa,no-hate
1,30-01-2022,1.49E+18,"Paid my respects to Padma Shri Awardee Swamy Maharaj Sadguru P.P Brahmeshanand Acharya ji. 

For people of Goa &amp; every follower of Swamiji, this is a moment of immense pride and delight https://t.co/bcLZXtp9eJ",AmitPalekar10,Goa,no-hate
,29-01-2022,1.49E+18,"In an attempt to imitate @ArvindKejriwal's free water scheme, @DrPramodPSawant promised free water to Goa.

Mr. Sawant not only failed to provide free water, but he also issued falsely inflated bills.

This shows the incompetency of Mr. Sawant &amp; BJP Govt

 https://t.co/45cADvCH4o",AmitPalekar10,Goa,Politicians
,29-01-2022,1.49E+18,"Today, at 3:30 p.m, I will expose a massive water scam done by the BJP government. https://t.co/idjeA378ry",AmitPalekar10,Goa,political-attack
,28-01-2022,1.49E+18,"एक चान्स आपाक! 

#OneChanceToAAP https://t.co/uS1z8goF4j",AmitPalekar10,Goa,no-hate
,28-01-2022,1.49E+18,"Thank you very much @ArvindKejriwal sir for entrusting me with this responsibility. 

AAP will put an end to Goa's corrupt politics and provide the people with a government they will be proud of. https://t.co/vSwYHZfrS1",AmitPalekar10,Goa,political-attack
,28-01-2022,1.49E+18,"With blessings of Goencho Saib &amp; Mahalaxmi Devi, I filed my nomination as @AAPGoa candidate from St Cruz.

I seek the blessings &amp; support of all Goenkars. Together we can bring a change. 

#BadalZai https://t.co/2zGAJzF8k1",AmitPalekar10,Goa,no-hate
,28-01-2022,1.49E+18,"Sought blessings from Mahalaxmi Devi before filing my nomination. Also prayed for safety and well being of every Goenkar. 

I am grateful to the people for trusting and supporting me, I won't let you down. https://t.co/2R89OPo5jb",AmitPalekar10,Goa,no-hate
,28-01-2022,1.49E+18,"Before filing my nomination, I seek Goencho Saib's blessings. Also visited the protest site where we fought to save our Old Goa heritage site.

I pledge to protect Goa and its people. https://t.co/27aO1hdiuA",AmitPalekar10,Goa,no-hate
,27-01-2022,1.49E+18,"गोंयच्या जनतेक अमित पालेकरामदीं दिसता गोंयचो बरो फुडार, अमित पालेकार दिसताच  मुखामळार फुलता हांसो
अमित पालेकाराच्या फुडारपणाखाला आप दितलो नितळ सरकार म्हूण सगळ्यांक विस्वास! https://t.co/yabN2fTfCQ",AmitPalekar10,Goa,no-hate
,26-01-2022,1.49E+18,"The people of Santacruz are ready for change, this morning the Goans are getting full support in door-2-door, this time the people will overthrow the government of double engine! just #EkChanceKejriwalak
@AAPGoa https://t.co/tcKDaPFLZD",AmitPalekar10,Goa,no-hate
,26-01-2022,1.49E+18,Happy Republic Day to every Indian. Warm wishes on our 73rd Republic Day. Let us all together cherish the constitution and adopt these ideals in our daily life!🇮🇳🇮🇳🇮🇳 https://t.co/TQiNCzcftd,AmitPalekar10,Goa,no-hate
,25-01-2022,1.49E+18,"7th list of candidates for Goa Assembly Election 2022 released. The people of Goa are going to vote for change this time on 14th February!

@AAPGoa https://t.co/2JsmXbNf1k",AmitPalekar10,Goa,no-hate
,25-01-2022,1.49E+18,Visited Ganapati temple in Santacruz and took blessings! https://t.co/XcLV4iosEq,AmitPalekar10,Goa,no-hate
